Data,Temp M1,Temp Random
2016/04/17 02:04:14,20.44,22
2016/04/17 02:09:15,20.44,22
2016/04/17 02:14:16,20.44,21
2016/04/17 02:19:17,20.44,18
2016/04/17 02:24:18,20.44,18
2016/04/17 02:29:19,20.44,21
2016/04/17 02:34:20,20.44,20
2016/04/17 02:39:21,20.44,20
2016/04/17 02:44:22,20.44,18
2016/04/17 02:49:23,20.44,17
2016/04/17 02:54:24,20.44,17
2016/04/17 02:59:25,20.44,20
2016/04/17 03:04:26,20.44,20
2016/04/17 03:09:27,20.44,20
2016/04/17 03:14:28,20.44,18
2016/04/17 03:19:29,20.44,19
2016/04/17 03:24:30,20.44,17
2016/04/17 03:29:31,20.44,22
2016/04/17 03:34:32,20.44,17
2016/04/17 03:39:33,20.44,17
2016/04/17 03:44:34,20.44,18
2016/04/17 03:49:35,20.44,18
2016/04/17 03:54:36,20.44,18
2016/04/17 03:59:37,20.44,17
2016/04/17 04:04:38,20.44,19
2016/04/17 04:09:39,20.44,19
2016/04/17 04:14:40,20.44,19
2016/04/17 04:19:41,20.44,20
2016/04/17 04:24:42,20.44,20
2016/04/17 04:29:43,20.44,21
2016/04/17 04:34:44,20.44,20
2016/04/17 04:39:45,20.44,22
2016/04/17 04:44:46,20.44,18
2016/04/17 04:49:47,20.44,22
2016/04/17 04:54:48,20.44,20
2016/04/17 04:59:49,20.44,22
2016/04/17 05:04:50,20.44,22
2016/04/17 05:09:51,20.44,18
2016/04/17 05:14:52,20.44,18
2016/04/17 05:19:53,20.44,18
2016/04/17 05:24:54,20.44,20
2016/04/17 05:29:55,20.44,20
2016/04/17 05:34:56,20.44,19
2016/04/17 05:39:57,20.44,19
2016/04/17 05:44:58,20.44,21
2016/04/17 05:49:59,20.44,17
2016/04/17 05:55:00,20.38,20
2016/04/17 06:00:01,20.44,18
2016/04/17 06:05:02,20.38,17
2016/04/17 06:10:03,20.44,20
2016/04/17 06:15:04,20.38,22
2016/04/17 06:20:05,20.38,21
2016/04/17 06:25:06,20.44,20
2016/04/17 06:30:07,20.44,19
2016/04/17 06:35:08,20.44,21
2016/04/17 06:40:09,20.44,22
2016/04/17 06:45:10,20.38,19
2016/04/17 06:50:11,20.38,21
2016/04/17 06:55:12,20.44,22
2016/04/17 07:00:13,20.44,22
2016/04/17 07:05:14,20.38,17
2016/04/17 07:10:15,20.44,21
2016/04/17 07:15:16,20.44,22
2016/04/17 07:20:17,20.44,17
2016/04/17 07:25:18,20.50,18
2016/04/17 07:30:19,20.50,19
2016/04/17 07:35:20,20.50,22
2016/04/17 07:40:21,20.56,17
2016/04/17 07:45:22,20.56,18
2016/04/17 07:50:23,20.56,22
2016/04/17 07:55:24,20.56,20
2016/04/17 08:00:25,20.63,20
2016/04/17 08:05:26,20.63,20
2016/04/17 08:10:27,20.69,18
2016/04/17 08:15:28,20.63,21
2016/04/17 08:20:29,20.69,20
2016/04/17 08:25:30,20.63,22
2016/04/17 08:30:31,20.69,17
2016/04/17 08:35:32,20.69,19
2016/04/17 08:40:33,20.63,20
2016/04/17 08:45:34,20.69,17
2016/04/17 08:50:35,20.69,18
2016/04/17 08:55:36,20.75,19
2016/04/17 09:00:37,20.69,18
2016/04/17 09:05:38,20.69,17
2016/04/17 09:10:39,20.69,19
2016/04/17 09:15:40,20.75,21
2016/04/17 09:20:41,20.75,21
2016/04/17 09:25:42,20.75,22
2016/04/17 09:30:43,20.75,20
2016/04/17 09:35:44,20.75,22
2016/04/17 09:40:45,20.75,17
2016/04/17 09:45:46,20.75,18
2016/04/17 09:50:47,20.75,19
2016/04/17 09:55:48,20.75,18
2016/04/17 10:00:49,20.81,21
2016/04/17 10:05:50,20.81,22
2016/04/17 10:10:51,20.81,22
2016/04/17 10:15:52,20.69,17
2016/04/17 10:20:53,20.69,21
2016/04/17 10:25:54,20.75,17
2016/04/17 10:30:55,20.75,17
2016/04/17 10:35:56,20.75,22
2016/04/17 10:40:57,20.75,19
2016/04/17 10:45:58,20.75,22
2016/04/17 10:50:59,20.81,20
2016/04/17 10:56:00,20.75,18
2016/04/17 11:01:01,20.81,22
2016/04/17 11:06:02,20.81,18
2016/04/17 11:11:03,20.81,20
2016/04/17 11:16:04,20.81,17
2016/04/17 11:21:05,20.81,19
2016/04/17 11:26:06,20.81,19
2016/04/17 11:31:07,20.81,20
2016/04/17 11:36:08,20.81,21
2016/04/17 11:41:09,20.81,19
2016/04/17 11:46:10,20.81,22
2016/04/17 11:51:11,20.81,21
2016/04/17 11:56:12,20.88,20
2016/04/17 12:01:13,20.88,22
2016/04/17 12:06:14,20.88,18
2016/04/17 12:11:15,20.88,22
2016/04/17 12:16:16,20.88,18
2016/04/17 12:21:17,20.88,18
2016/04/17 12:26:18,20.88,18
2016/04/17 12:31:19,20.81,22
2016/04/17 12:36:20,20.81,21
2016/04/17 12:41:21,20.75,21
2016/04/17 12:46:22,20.75,17
2016/04/17 12:51:23,20.75,20
2016/04/17 12:56:24,20.75,17
2016/04/17 13:01:25,20.75,20
2016/04/17 13:06:26,20.69,22
2016/04/17 13:11:27,20.75,22
2016/04/17 13:16:28,20.69,18
2016/04/17 13:21:29,20.69,21
2016/04/17 13:26:30,20.69,21
2016/04/17 13:31:31,20.69,21
2016/04/17 13:36:32,20.69,22
2016/04/17 13:41:33,20.69,22
2016/04/17 13:46:34,20.63,21
2016/04/17 13:51:35,20.69,20
2016/04/17 13:56:36,20.69,18
2016/04/17 14:01:37,20.69,17
2016/04/17 14:06:38,20.75,18
2016/04/17 14:11:39,20.75,22
2016/04/17 14:16:40,20.75,20
2016/04/17 14:21:41,20.75,18
2016/04/17 14:26:42,20.75,18
2016/04/17 14:31:43,20.75,22
2016/04/17 14:36:44,20.75,19
2016/04/17 14:41:45,20.75,17
2016/04/17 14:46:46,20.81,22
2016/04/17 14:51:47,20.75,19
2016/04/17 14:56:48,20.75,22
2016/04/17 15:01:49,20.75,18
2016/04/17 15:06:50,20.69,22
2016/04/17 15:11:51,20.69,22
2016/04/17 15:16:52,20.69,19
2016/04/17 15:21:53,20.69,18
2016/04/17 15:26:54,20.69,22
2016/04/17 15:31:55,20.63,22
2016/04/17 15:36:56,20.63,20
2016/04/17 15:41:57,20.63,19
2016/04/17 15:46:58,20.63,19
2016/04/17 15:51:59,20.63,18
2016/04/17 15:57:00,20.63,17
2016/04/17 16:02:01,20.63,22
2016/04/17 16:07:02,20.63,21
2016/04/17 16:12:03,20.63,18
2016/04/17 16:17:04,20.63,21
2016/04/17 16:22:05,20.63,18
2016/04/17 16:27:06,20.56,22
2016/04/17 16:32:07,20.56,21
2016/04/17 16:37:08,20.56,21
2016/04/17 16:42:09,20.56,19
2016/04/17 16:47:10,20.56,17
2016/04/17 16:52:11,20.56,18
2016/04/17 16:57:12,20.56,21
2016/04/17 17:02:13,20.56,19
2016/04/17 17:07:14,20.56,22
2016/04/17 17:12:15,20.56,20
2016/04/17 17:17:16,20.56,21
2016/04/17 17:22:17,20.56,22
2016/04/17 17:27:18,20.56,20
2016/04/17 17:32:19,20.56,22
2016/04/17 17:37:20,20.56,18
