Data,Porthable (Temp)
2016/04/20 01:10:54,20.50
2016/04/20 01:15:55,20.50
2016/04/20 01:20:56,20.50
2016/04/20 01:25:57,20.44
2016/04/20 01:30:58,20.44
2016/04/20 01:35:59,20.44
2016/04/20 01:41:00,20.44
2016/04/20 01:46:01,20.44
2016/04/20 01:51:02,20.44
2016/04/20 01:56:03,20.44
2016/04/20 02:01:04,20.44
2016/04/20 02:06:05,20.44
2016/04/20 02:11:06,20.44
2016/04/20 02:16:07,20.38
2016/04/20 02:21:08,20.44
2016/04/20 02:26:09,20.44
2016/04/20 02:31:10,20.44
2016/04/20 02:36:11,20.38
2016/04/20 02:41:12,20.38
2016/04/20 02:46:13,20.38
2016/04/20 02:51:14,20.38
2016/04/20 02:56:15,20.38
2016/04/20 03:01:16,20.38
2016/04/20 03:06:17,20.38
2016/04/20 03:11:18,20.38
2016/04/20 03:16:19,20.38
2016/04/20 03:21:20,20.38
2016/04/20 03:26:21,20.38
2016/04/20 03:31:22,20.38
2016/04/20 03:36:23,20.31
2016/04/20 03:41:24,20.38
2016/04/20 03:46:25,20.31
2016/04/20 03:51:26,20.31
2016/04/20 03:56:27,20.31
2016/04/20 04:01:28,20.31
2016/04/20 04:06:29,20.31
2016/04/20 04:11:30,20.31
2016/04/20 04:16:31,20.31
2016/04/20 04:21:32,20.31
2016/04/20 04:26:33,20.31
2016/04/20 04:31:34,20.31
2016/04/20 04:36:35,20.31
2016/04/20 04:41:36,20.31
2016/04/20 04:46:37,20.31
2016/04/20 04:51:38,20.31
2016/04/20 04:56:39,20.25
2016/04/20 05:01:40,20.31
2016/04/20 05:06:41,20.25
2016/04/20 05:11:42,20.25
2016/04/20 05:16:43,20.25
2016/04/20 05:21:44,20.25
2016/04/20 05:26:45,20.25
2016/04/20 05:31:46,20.25
2016/04/20 05:36:47,20.25
2016/04/20 05:41:48,20.25
2016/04/20 05:46:49,20.25
2016/04/20 05:51:50,20.25
2016/04/20 05:56:51,20.25
2016/04/20 06:01:52,20.25
2016/04/20 06:06:53,20.25
2016/04/20 06:11:54,20.25
2016/04/20 06:16:55,20.25
2016/04/20 06:21:56,20.25
2016/04/20 06:26:57,20.25
2016/04/20 06:31:58,20.25
2016/04/20 06:36:59,20.25
2016/04/20 06:42:00,20.25
2016/04/20 06:47:01,20.25
2016/04/20 06:52:02,20.25
2016/04/20 06:57:03,20.25
2016/04/20 07:02:04,20.19
2016/04/20 07:07:05,20.19
2016/04/20 07:12:06,20.19
2016/04/20 07:17:07,20.19
2016/04/20 07:22:08,20.19
2016/04/20 07:27:09,20.19
2016/04/20 07:32:10,20.19
2016/04/20 07:37:11,20.19
2016/04/20 07:42:12,20.19
2016/04/20 07:47:13,20.19
2016/04/20 07:52:14,20.19
2016/04/20 07:57:15,20.19
2016/04/20 08:02:16,20.19
2016/04/20 08:07:17,20.19
2016/04/20 08:12:18,20.19
2016/04/20 08:17:19,20.19
2016/04/20 08:22:20,20.19
2016/04/20 08:27:21,20.19
2016/04/20 08:32:22,20.19
2016/04/20 08:37:23,20.19
2016/04/20 08:42:24,20.19
2016/04/20 08:47:25,20.19
2016/04/20 08:52:26,20.19
2016/04/20 08:57:27,20.19
2016/04/20 09:02:28,20.19
2016/04/20 09:07:29,20.19
2016/04/20 09:12:30,20.19
2016/04/20 09:17:31,20.19
2016/04/20 09:22:32,20.19
2016/04/20 09:27:33,20.19
2016/04/20 09:32:34,20.13
2016/04/20 09:37:35,20.19
2016/04/20 09:42:36,20.19
2016/04/20 09:47:37,20.19
2016/04/20 09:52:38,20.13
2016/04/20 09:57:39,20.19
2016/04/20 10:02:40,20.13
2016/04/20 10:07:41,20.19
2016/04/20 10:12:42,20.19
2016/04/20 10:17:43,20.13
2016/04/20 10:22:44,20.19
2016/04/20 10:27:45,20.13
2016/04/20 10:32:46,20.19
2016/04/20 10:37:47,20.19
2016/04/20 10:42:48,20.19
2016/04/20 10:47:49,20.19
2016/04/20 10:52:50,20.13
2016/04/20 10:57:51,20.13
2016/04/20 11:02:52,20.19
2016/04/20 11:07:53,20.13
2016/04/20 11:12:54,20.19
2016/04/20 11:17:55,20.13
2016/04/20 11:22:56,20.19
2016/04/20 11:27:57,20.19
2016/04/20 11:32:58,20.13
2016/04/20 11:37:59,20.19
2016/04/20 11:43:00,20.13
2016/04/20 11:48:01,20.13
2016/04/20 11:53:02,20.19
2016/04/20 11:58:03,20.13
2016/04/20 12:03:04,20.13
2016/04/20 12:08:05,20.19
2016/04/20 12:13:06,20.13
2016/04/20 12:18:07,20.19
2016/04/20 12:23:08,20.13
2016/04/20 12:28:09,20.19
2016/04/20 12:33:10,20.19
2016/04/20 12:38:11,20.13
2016/04/20 12:43:12,20.19
2016/04/20 12:48:13,20.19
2016/04/20 12:53:14,20.19
2016/04/20 12:58:15,20.19
2016/04/20 13:03:16,20.13
2016/04/20 13:08:17,20.13
2016/04/20 13:13:18,20.13
2016/04/20 13:18:19,20.13
2016/04/20 13:23:20,20.19
2016/04/20 13:28:21,20.13
2016/04/20 13:33:22,20.19
2016/04/20 13:38:23,20.13
2016/04/20 13:43:24,20.13
2016/04/20 13:48:25,20.13
2016/04/20 13:53:26,20.13
2016/04/20 13:58:27,20.13
2016/04/20 14:03:28,20.19
2016/04/20 14:08:29,20.19
2016/04/20 14:13:30,20.13
2016/04/20 14:18:31,20.13
2016/04/20 14:23:32,20.13
2016/04/20 14:28:33,20.19
2016/04/20 14:33:34,20.13
2016/04/20 14:38:35,20.13
2016/04/20 14:43:36,20.13
2016/04/20 14:48:37,20.19
2016/04/20 14:53:38,20.13
2016/04/20 14:58:39,20.19
2016/04/20 15:03:40,20.19
2016/04/20 15:08:41,20.13
2016/04/20 15:13:42,20.19
2016/04/20 15:18:43,20.19
2016/04/20 15:23:44,20.13
2016/04/20 15:28:45,20.13
2016/04/20 15:33:46,20.19
2016/04/20 15:38:47,20.19
2016/04/20 15:43:48,20.19
2016/04/20 15:48:49,20.13
2016/04/20 15:53:50,20.13
2016/04/20 15:58:51,20.13
2016/04/20 16:03:52,20.13
2016/04/20 16:08:53,20.19
2016/04/20 16:13:54,20.19
2016/04/20 16:18:55,20.13
